Fecha,tipocambio
02/01/2007,10.7815
03/01/2007,10.7708
04/01/2007,10.865
05/01/2007,10.9355
08/01/2007,10.9705
09/01/2007,11.0091
10/01/2007,11.0333
11/01/2007,10.965
12/01/2007,10.9765
15/01/2007,10.9419
16/01/2007,10.986
17/01/2007,10.9234
18/01/2007,10.9232
19/01/2007,10.8824
22/01/2007,10.8918
23/01/2007,10.9645
24/01/2007,10.9486
25/01/2007,10.9753
26/01/2007,11.0402
29/01/2007,11.0855
30/01/2007,11.0548
31/01/2007,11.0382
01/02/2007,10.982
02/02/2007,10.9921
06/02/2007,10.9192
07/02/2007,10.937
08/02/2007,10.9683
09/02/2007,10.9601
12/02/2007,11.0227
13/02/2007,10.9915
14/02/2007,10.9152
15/02/2007,10.9522
16/02/2007,10.9958
19/02/2007,10.9778
20/02/2007,10.9755
21/02/2007,11.0023
22/02/2007,10.9683
23/02/2007,11.0397
26/02/2007,11.079
27/02/2007,11.1493
28/02/2007,11.1682
01/03/2007,11.1917
02/03/2007,11.1817
05/03/2007,11.1762
06/03/2007,11.1473
07/03/2007,11.1555
08/03/2007,11.1426
09/03/2007,11.1205
12/03/2007,11.1483
13/03/2007,11.1727
14/03/2007,11.1867
15/03/2007,11.1348
16/03/2007,11.1664
20/03/2007,11.112
21/03/2007,11.0796
22/03/2007,11.022
23/03/2007,11.0166
26/03/2007,11.0253
27/03/2007,11.047
28/03/2007,11.0813
29/03/2007,11.0507
30/03/2007,11.0322
02/04/2007,11.0336
03/04/2007,10.9797
04/04/2007,10.9976
09/04/2007,10.9705
10/04/2007,11.0126
11/04/2007,10.984
12/04/2007,11.0135
13/04/2007,10.9917
16/04/2007,10.9856
17/04/2007,10.9911
18/04/2007,10.992
19/04/2007,11.0048
20/04/2007,10.979
23/04/2007,10.9637
24/04/2007,11.0053
25/04/2007,10.9369
26/04/2007,10.9312
27/04/2007,10.9305
30/04/2007,10.9278
02/05/2007,10.9262
03/05/2007,10.902
04/05/2007,10.8852
07/05/2007,10.8558
08/05/2007,10.8513
09/05/2007,10.8269
10/05/2007,10.8178
11/05/2007,10.8148
14/05/2007,10.7987
15/05/2007,10.8032
16/05/2007,10.7905
17/05/2007,10.8033
18/05/2007,10.8223
21/05/2007,10.7963
22/05/2007,10.7598
23/05/2007,10.7688
24/05/2007,10.8354
25/05/2007,10.7803
28/05/2007,10.7788
29/05/2007,10.7873
30/05/2007,10.818
31/05/2007,10.7445
01/06/2007,10.7131
04/06/2007,10.7441
05/06/2007,10.7809
06/06/2007,10.845
07/06/2007,10.9043
08/06/2007,10.9702
11/06/2007,10.9307
12/06/2007,10.9331
13/06/2007,10.9538
14/06/2007,10.9012
15/06/2007,10.8148
18/06/2007,10.776
19/06/2007,10.7494
20/06/2007,10.7713
21/06/2007,10.8266
22/06/2007,10.808
25/06/2007,10.8189
26/06/2007,10.8398
27/06/2007,10.8661
28/06/2007,10.7926
29/06/2007,10.7946
02/07/2007,10.7697
03/07/2007,10.7698
04/07/2007,10.76
05/07/2007,10.7936
06/07/2007,10.7828
09/07/2007,10.7531
10/07/2007,10.7917
11/07/2007,10.8248
