periodo,Precios e Inflación 
2002/02,51.24176035
2002/03,51.39253791
2002/04,50.8141971
2002/05,51.10527924
2002/06,50.88950276
2002/07,50.31432047
2002/08,50.60074795
2002/09,51.15947272
2002/10,51.19388391
2002/11,51.90438366
2002/12,51.90671098
2003/01,53.18009143
2003/02,55.37642336
2003/03,54.43950793
2003/04,54.249997
2003/05,54.45463555
2003/06,53.7132156
2003/07,54.08542172
2003/08,54.60109093
2003/09,53.6399048
2003/10,53.6028338
2003/11,52.53026844
2003/12,52.92890634
2004/01,53.35233759
2004/02,53.19566802
2004/03,53.66197169
2004/04,55.15350827
2004/05,55.71084965
2004/06,54.84175701
2004/07,54.80258962
2004/08,54.8036482
2004/09,53.35868906
2004/10,52.99030387
2004/11,53.35392545
2004/12,54.02082967
2005/01,53.95837356
2005/02,55.0407697
2005/03,54.63798072
2005/04,53.44125815
2005/05,52.44090182
2005/06,51.60197865
2005/07,50.28034386
2005/08,50.47459295
2005/09,51.23518133
2005/10,51.42890113
2005/11,53.04323277
2005/12,55.62457554
2006/01,57.44956423
2006/02,58.85800242
2006/03,58.82783295
2006/04,59.03637284
2006/05,59.03848999
2006/06,59.22479975
2006/07,59.08242099
2006/08,59.78637544
2006/09,58.57430349
2006/10,58.60500225
2006/11,59.94198643
2006/12,60.23415399
2007/01,62.77474149
2007/02,64.31285551
2007/03,64.61455028
2007/04,65.03215935
2007/05,64.29962328
2007/06,63.25586525
2007/07,61.90617814
2007/08,60.87776949
2007/09,61.12071317
2007/10,60.82484058
2007/11,60.45010393
2007/12,61.20116511
2008/01,61.7823245
2008/02,62.11948163
2008/03,62.60907402
2008/04,63.36701596
2008/05,63.509924
2008/06,63.34002221
2008/07,64.61719672
2008/08,65.04539158
2008/09,66.31833177
2008/10,69.4093799
2008/11,70.32346212
2008/12,71.00571572
2009/01,72.6518047
2009/02,74.6895676
2009/03,73.61934511
2009/04,71.53712194
2009/05,71.5196554
2009/06,72.09393403
2009/07,71.56834999
2009/08,72.69997001
2009/09,71.61810316
2009/10,71.45243569
2009/11,71.44132062
2009/12,71.49424952
2010/01,70.80405658
2010/02,71.25130584
2010/03,72.79788849
2010/04,71.78006562
2010/05,70.97131193
2010/06,70.80670303
2010/07,71.29047323
2010/08,71.5440027
2010/09,69.96036982
2010/10,70.27476752
2010/11,71.78165348
2010/12,72.73172735
2011/01,73.01119198
2011/02,75.26755126
2011/03,79.74321958
2011/04,82.84326562
2011/05,83.6959503
2011/06,83.8700864
2011/07,83.57633097
2011/08,82.15783628
2011/09,82.16895135
2011/10,83.65413646
2011/11,85.45848288
2011/12,87.18714096
2012/01,87.73072083
2012/02,89.0052489
2012/03,89.43503162
2012/04,89.19208793
2012/05,87.97948669
2012/06,88.62310219
2012/07,88.81299342
2012/08,88.91463236
2012/09,90.40517377
2012/10,90.37953078
2012/11,90.29020815
2012/12,91.59744069
2013/01,93.075582
2013/02,93.05492854
2013/03,93.28266845
2013/04,93.36086146
2013/05,93.01643533
2013/06,93.01667671
2013/07,92.684633
2013/08,91.99406938
2013/09,94.85692944
2013/10,93.0397298
2013/11,91.11225803
2013/12,87.7229724
2014/01,85.48498679
2014/02,85.90642179
2014/03,85.7879139
2014/04,85.60945647
2014/05,88.08850384
2014/06,85.87461911
2014/07,84.84260948
2014/08,83.2516362
2014/09,82.49354627
2014/10,81.97550244
2014/11,81.96845957
2014/12,79.93058848
2015/01,82.78073006
2015/02,83.19764708
2015/03,83.19764708
2015/04,83.01227525
2015/05,83.22268376
2015/06,83.27602335
2015/07,82.65527307
2015/08,84.01328101
2015/09,83.28338306
2015/10,84.43989965
2015/11,86.15088575
2015/12,86.15088575
2016/01,88.28675812
2016/02,88.10545067
2016/03,87.34093607
2016/04,87.05961807
2016/05,90.83787079
2016/06,92.53612413
2016/07,92.06984299
2016/08,90.08477326
2016/09,90.39492534
2016/10,91.32936849
2016/11,91.20632652
2016/12,91.20632652
2017/01,93.600715
2017/02,93.6892239
2017/03,92.80715792
2017/04,92.01465028
2017/05,93.22461339
2017/06,92.61264762
2017/07,93.85872347
2017/08,94.8960602
2017/09,95.80225109
2017/10,97.07202601
2017/11,97.39672543
2017/12,97.13540922
2018/01,97.77415176
2018/02,99.31621499
2018/03,96.83643905
2018/04,96.91670972
2018/05,96.77010562
2018/06,98.41963013
2018/07,98.89876484
2018/08,96.72707713
2018/09,97.60748649
2018/10,98.50583065
2018/11,99.41435261
2018/12,100.5053798
2019/01,99.5454082
2019/02,98.23728706
2019/03,98.92589526
2019/04,99.01893699
2019/05,98.08387368
2019/06,97.40092314
2019/07,100
2019/08,102.3648932
2019/09,102.2712183
2019/10,101.5385885
2019/11,103.0169589
2019/12,103.1238945
2020/01,103.0749318
2020/02,102.966001
2020/03,102.6708085
2020/04,103.4941179
2020/05,105.3811669
2020/06,107.662073
2020/07,107.662073
2020/08,108.4148812
2020/09,109.7359305
2020/10,108.1710123
2020/11,110.41137
2020/12,109.0873196
2021/01,107.5154611
2021/02,107.5154611
2021/03,110.9311645
2021/04,120.3130305
2021/05,130.9677838
2021/06,140.5293789
2021/07,143.1653022
2021/08,144.2375103
2021/09,141.9172139
2021/10,138.1159349
2021/11,137.5123189
2021/12,137.5965543
2022/01,138.7779396
2022/02,139.1147631
2022/03,142.8998821
2022/04,145.1274626
2022/05,154.469529
2022/06,163.10033
2022/07,163.0021127
2022/08,161.2995695
2022/09,160.4671556
2022/10,164.6773265
2022/11,166.9055648
2022/12,166.3429907
2023/01,161.6460403
2023/02,160.8576056
2023/03,158.0744857
2023/04,152.8776429
2023/05,150.6371978
2023/06,146.3379622
2023/07,145.7682338
2023/08,137.595703
2023/09,139.2259287
2023/10,138.4218058
2023/11,139.0829902
2023/12,135.3908859
2024/01,130.4976702
2024/02,127.4657647
2024/03,122.1397778
2024/04,120.2412352
